Genus Name,Phyla,Impact,Function,Description,,,,,,,,,,,,,,,,,,,,
Acidaminococcus,Firmicutes,Harmful,Immunity,It has the ability to activate serious immune related adverse event. This also causes leaky or perforated gut as a result of inflamed host status and also cause several metabolic diseases.,,,,,,,,,,,,,,,,,,,,
Agathobacter,Firmicutes,Helpful,Immunity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has a anti-inflammatory capacity.",,,,,,,,,,,,,,,,,,,,
Akkermansia,Verrucomicrobia,Helpful,Diabetes,It has ability to control blood glucose level also provide protection against insulin resistance and maintain the integrity of the gut barrier junction.,,,,,,,,,,,,,,,,,,,,
Alistipes,Bacteroidetes,Helpful,Inflammatory Diseases,"This genus provides protection against various diseases such as liver fibrosis, colorectal cancer, colitis, cardiovascular disease and various mood disorders.",,,,,,,,,,,,,,,,,,,,
Allisonella,Firmicutes,Helpful,Gastro Intestinal Disorders,It provides protection against constipation. Also produces histamine to control allergic reactions.,,,,,,,,,,,,,,,,,,,,
Alloprevotella,Bacteroidetes,Helpful,Cardiovascular,This genus controls the risk of cardiovascular and cerebrovascular disease,,,,,,,,,,,,,,,,,,,,
Anaerostipes,Firmicutes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Atopobium,Actinobacteria,Harmful,Immunity,"It causes immune dysregulation, which leads to several auto-immune diseases.",,,,,,,,,,,,,,,,,,,,
Avibacterium,Proteobacteria,Harmful,Immunity,It causes rhinitis which in general happens by human poultry cross contamination.,,,,,,,,,,,,,,,,,,,,
Bacteroides,Bacteroidetes,Helpful,Nutrition,The main role of it is metabolizing polysaccharides and oligosaccharides which provides nutrition and vitamins to the host and other intestinal microbial residents and promote the growth of others.,,,,,,,,,,,,,,,,,,,,
Barnesiella,Bacteroidetes,Helpful,Immunity,It has the ability to compete with other drug resistant gut bacteria to get rid of those harmful bacteria.,,,,,,,,,,,,,,,,,,,,
Bifidobacterium,Actinobacteria,Helpful,Gastro Intestinal Disorders,"It helps to digest fibre and produce lots of important healthy chemicals, which prevent infections.",,,,,,,,,,,,,,,,,,,,
Bilophila,Proteobacteria,Harmful,Gastro Intestinal Disorders,It causes Bloating and visible abdominal distention and also related to metabolic disorders,,,,,,,,,,,,,,,,,,,,
Blautia,Firmicutes,Harmful,Obesity,It increases the risk of obesity and cardiovascular diseases.,,,,,,,,,,,,,,,,,,,,
Butyricicoccus,Firmicutes,Helpful,Cancer,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity. Also provides protection against colorectal cancer",,,,,,,,,,,,,,,,,,,,
Butyricimonas,Bacteroidetes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Butyrivibrio,Firmicutes,Helpful,Obesity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity. Also reduce the risk of obesity.",,,,,,,,,,,,,,,,,,,,
Catenibacterium,Firmicutes,Helpful,Gastro Intestinal Disorders,"It ferments glucose, mannose, galactose, fructose, sucrose, maltose, cellobiose, lactose and salicin in the production of lactic acid, acetic acid as well as iso-butyric acid.",,,,,,,,,,,,,,,,,,,,
Christensenellaceae_R-7_group,Firmicutes,Harmful,Cardiovascular,It increases the risk of stroke.,,,,,,,,,,,,,,,,,,,,
Citrobacter,Proteobacteria,Harmful,Immunity,It causes neonatal sepsis and meningitis.,,,,,,,,,,,,,,,,,,,,
Clostridium,Firmicutes,Harmful,Gastro Intestinal Disorders,"It causes gas gangrene, tetanus, botulism, pseudomembranous colitis and food poisoning.",,,,,,,,,,,,,,,,,,,,
Colidextribacter,Firmicutes,Harmful,Immunity,It causes inflammation.,,,,,,,,,,,,,,,,,,,,
Collinsella,Actinobacteria,Harmful,Gastro Intestinal Disorders,"It disrupt the gut barrier integrity, which cause leaky or perforated gut syndrome.",,,,,,,,,,,,,,,,,,,,
Comamonas,Proteobacteria,Harmful,immunity,It is associated with intraabdominal infection.,,,,,,,,,,,,,,,,,,,,
Coprococcus,Firmicutes,Helpful,Immunity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity and neuroactive potential.",,,,,,,,,,,,,,,,,,,,
Cronobacter,Proteobacteria,Harmful,immunity,It causes severe bloodstream infections (sepsis) or meningitis,,,,,,,,,,,,,,,,,,,,
Defluviitaleaceae_UCG-011,Firmicutes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Desulfovibrio,Proteobacteria,Harmful,Gastro Intestinal Disorders,Increased abundance cause IBD,,,,,,,,,,,,,,,,,,,,
Dialister,Firmicutes,Harmful,Immunity,Increased abundance cause osteoporosis or bone loss,,,,,,,,,,,,,,,,,,,,
Dorea,Firmicutes,Harmful,Obesity,"It is associated with obesity, high triglyceride level",,,,,,,,,,,,,,,,,,,,
Enterobacter,Proteobacteria,Harmful,Gastro Intestinal Disorders,"Over population of this genus in gut cause IBD, diarrhoea, enterititis.",,,,,,,,,,,,,,,,,,,,
Enterococcus,Firmicutes,Helpful,Immunity,It has a significant role in immune homeostasis. Enterococci produce small peptides that belong to the bacteriocin group which has antimicrobial properties.,,,,,,,,,,,,,,,,,,,,
Escherichia-Shigella,Proteobacteria,Harmful,Gastro Intestinal Disorders,It is a good indicator of dysbiotic gut and also causes septic shock.,,,,,,,,,,,,,,,,,,,,
Eubacterium,Firmicutes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also provides protection against colorectal cancer, IBD and many other diseases.",,,,,,,,,,,,,,,,,,,,
Faecalibacterium,Firmicutes,Helpful,Immunity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health.",,,,,,,,,,,,,,,,,,,,
Flavonifractor,Firmicutes,Harmful,Cancer,It promotes colorectal cancer and many other cancers.,,,,,,,,,,,,,,,,,,,,
Fournierella,Firmicutes,Helpful,Good Gut Health,It is an indicator of healthy gut.,,,,,,,,,,,,,,,,,,,,
Fusicatenibacter,Firmicutes,Helpful,Gastro Intestinal Disorders,Provides protection against IBD,,,,,,,,,,,,,,,,,,,,
Gastranaerophilales,Cyanobacteria,Harmful,Neurodegenerative,Hampers normal neuronal development.,,,,,,,,,,,,,,,,,,,,
Gemmiger,Proteobacteria,Helpful,Gastro Intestinal Disorders,Provide protection against IBD and liver diseases,,,,,,,,,,,,,,,,,,,,
Granulicatella,Firmicutes,Harmful,Immunity,It causes disease like Bacterascites.,,,,,,,,,,,,,,,,,,,,
Haemophilus,Proteobacteria,Harmful,Neurodegenerative,It is related to various neuro disorder including schizophrenia,,,,,,,,,,,,,,,,,,,,
Herbaspirillum,Proteobacteria,Harmful,Cancer,"It causes bacteremia, colorectal cancer.",,,,,,,,,,,,,,,,,,,,
Klebsiella,Proteobacteria,Harmful,Immunity,Cause impaired gut lung infection.,,,,,,,,,,,,,,,,,,,,
Kluyvera,Proteobacteria,Harmful,Immunity,It causes gut infection.,,,,,,,,,,,,,,,,,,,,
Lachnobacterium,Firmicutes,Helpful,Good gut health,It is an indicator of healthy gut.,,,,,,,,,,,,,,,,,,,,
Lachnoclostridium,Firmicutes,Helpful,Immunity,"Indicator of healthy gut, shows anti-inflammatory effect.",,,,,,,,,,,,,,,,,,,,
Lachnospiraceae_UCG-010,Firmicutes,Helpful,Good gut health,Indicator of healthy gut.,,,,,,,,,,,,,,,,,,,,
Lactobacillus,Firmicutes,Helpful,Good gut health,"It regulates luminal pH, enhance gut barrier function by increasing mucus production, secrete antimicrobial peptides, help in clearing the pathogens.",,,,,,,,,,,,,,,,,,,,
Lactococcus,Firmicutes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also controls the growth of opportunistic pathogens in gut.",,,,,,,,,,,,,,,,,,,,
Leclercia,Proteobacteria,Harmful,Immunity,"It is an Opportunistic pathogen, cause severe infection when the immune system is weak.",,,,,,,,,,,,,,,,,,,,
Mannheimia,Proteobacteria,Harmful,Immunity,It causes respiratory infection.,,,,,,,,,,,,,,,,,,,,
Marvinbryantia,Firmicutes,Helpful,Diabetes,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health. The lower abundance cause T2D.",,,,,,,,,,,,,,,,,,,,
Megamonas,Firmicutes,Harmful,Metabolic disorders,"It is associated to various metabolic syndrome such as T2D, obesity.",,,,,,,,,,,,,,,,,,,,
Megasphaera,Firmicutes,Helpful,Gastro Intestinal Disorders,It provides protection against diarrhoea.,,,,,,,,,,,,,,,,,,,,
Methylobacterium-Methylorubrum,Proteobacteria,Harmful,Gastro Intestinal Disorders,"It is an Opportunistic pathogen, cause severe infection when the immune system is weak and also causes constipation",,,,,,,,,,,,,,,,,,,,
Mitsuokella,Firmicutes,Harmful,Obesity,It causes obesity.,,,,,,,,,,,,,,,,,,,,
Monoglobus,Firmicutes,Helpful,Diabetes,It helps in controlling blood glucose level.,,,,,,,,,,,,,,,,,,,,
Moryella,Firmicutes,Harmful,Gastro Intestinal Disorders,It causes bacteremia.,,,,,,,,,,,,,,,,,,,,
Muribaculaceae,Bacteroidetes,Helpful,Gastro Intestinal Disorders,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also controls the growth of opportunistic pathogens in gut.",,,,,,,,,,,,,,,,,,,,
Odoribacter,Bacteroidetes,Helpful,Diabetes,Improves glucose control and inflammatory profile.,,,,,,,,,,,,,,,,,,,,
Olsenella,Actinobacteria,Helpful,Immunity,Associated to reduced gut inflammation,,,,,,,,,,,,,,,,,,,,
Oribacterium,Firmicutes,Harmful,Gastro Intestinal Disorders,"It is a common flora of oral cavity, if increased in gut cause dysbiosis.",,,,,,,,,,,,,,,,,,,,
Oscillibacter,Firmicutes,Harmful,Gastro Intestinal Disorders,It causes obesity and leaky gut,,,,,,,,,,,,,,,,,,,,
Oxalobacter,Proteobacteria,Helpful,Kidney,It reduces the risk of kidney stone formation and maintain proper kidney health.,,,,,,,,,,,,,,,,,,,,
Parabacteroides,Bacteroidetes,Helpful,Metabolic Disorders,"It helps in carbohydrate metabolism and secrets short chain fatty acids which reduces the risk of IBD, metabolic diseases, obesity",,,,,,,,,,,,,,,,,,,,
Paraprevotella,Bacteroidetes,Harmful,Diabetes,It is related to T2D and high HbA1C,,,,,,,,,,,,,,,,,,,,
Parasutterella,Proteobacteria,Harmful,Diabetes,Related to T2D and obesity,,,,,,,,,,,,,,,,,,,,
Peptococcus,Firmicutes,Harmful,Gastro Intestinal Disorders,"It is a signature of dysbiotic gut, elevated colitis and IBD.",,,,,,,,,,,,,,,,,,,,
Phascolarctobacterium,Firmicutes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders. Also controls the growth of opportunistic pathogens in gut.",,,,,,,,,,,,,,,,,,,,
Prevotella,Bacteroidetes,Helpful,Nutrition,It contributes to polysaccharide breakdown but higher abundance cause inflammation.,,,,,,,,,,,,,,,,,,,,
Providencia,Proteobacteria,Harmful,Immunity,"It is an Opportunistic pathogen, cause severe infection when the immune system is weak.",,,,,,,,,,,,,,,,,,,,
Pseudobutyrivibrio,Firmicutes,Helpful,Immunity,It provides protection against Arthritis and other inflammatory diseases.,,,,,,,,,,,,,,,,,,,,
Pseudoflavonifractor,Firmicutes,Harmful,Diabetes,Involved in the development of obesity associated T2D development,,,,,,,,,,,,,,,,,,,,
Rikenellaceae_RC9_gut_group,Bacteroidetes,Harmful,Obesity,Involved in high fat diet induced obesity,,,,,,,,,,,,,,,,,,,,
Romboutsia,Firmicutes,Helpful,Cancer,The abundance decreases in colorectal cancer patients.,,,,,,,,,,,,,,,,,,,,
Roseburia,Firmicutes,Helpful,Immunity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health.",,,,,,,,,,,,,,,,,,,,
Rothia,Actinobacteria,Harmful,Immunity,"Normal flora of oral cavity, increased in gut cause inflammation.",,,,,,,,,,,,,,,,,,,,
Ruminococcus,Firmicutes,Harmful,Gastro Intestinal Disorders,"Associated to crohn's disease, produce inflammatory polysaccharides",,,,,,,,,,,,,,,,,,,,
Selenomonas,Firmicutes,Helpful,Good gut health,Common good gut flora,,,,,,,,,,,,,,,,,,,,
Serratia,Proteobacteria,Harmful,Immunity,"It is an Opportunistic pathogen, cause severe infection when the immune system is weak.",,,,,,,,,,,,,,,,,,,,
Shewanella,Proteobacteria,Helpful,Immunity,It has probiotic property,,,,,,,,,,,,,,,,,,,,
Slackia,Actinobacteria,Helpful,Good gut health,It helps in lipid metabolism,,,,,,,,,,,,,,,,,,,,
Solobacterium,Firmicutes,Harmful,Immunity,"It is an Opportunistic pathogen, cause severe infection when the immune system is weak, causing mainly bloodstream and surgical wound infections",,,,,,,,,,,,,,,,,,,,
Sphingomonas,Proteobacteria,Helpful,Immunity,Help in shaping the immune system,,,,,,,,,,,,,,,,,,,,
Streptococcus,Firmicutes,Harmful,Gastro Intestinal Disorders,Cause small intestinal bacterial over growth,,,,,,,,,,,,,,,,,,,,
Subdoligranulum,Firmicutes,Helpful,Obesity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity that promote gut health, decrease the risk of obesity, T2D, NAFLD.",,,,,,,,,,,,,,,,,,,,
Succinivibrio,Proteobacteria,Harmful,Immunity,Cause Uveitis,,,,,,,,,,,,,,,,,,,,
Sutterella,Proteobacteria,Helpful,Good gut health,Good gut flora,,,,,,,,,,,,,,,,,,,,
Turicibacter,Firmicutes,Harmful,Obesity,Cause obesity and depression,,,,,,,,,,,,,,,,,,,,
Veillonella,Firmicutes,Helpful,Immunity,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders, maintain colonic immune homeostasis.",,,,,,,,,,,,,,,,,,,,
Yersinia,Proteobacteria,Harmful,Gastro Intestinal Disorders,It causes crohn's disease,,,,,,,,,,,,,,,,,,,,
Acidaminococcus,Firmicutes,Harmful,Metabolic disorders,It has the ability to activate serious immune related adverse event. This also causes leaky or perforated gut as a result of inflamed host status and also cause several metabolic diseases.,,,,,,,,,,,,,,,,,,,,
Agathobacter,Firmicutes,Helpful,Metabolic disorders,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has a anti-inflammatory capacity.",,,,,,,,,,,,,,,,,,,,
Akkermansia,Verrucomicrobia,Helpful,Metabolic disorders,It has ability to control blood glucose level also provide protection against insulin resistance and maintain the integrity of the gut barrier junction.,,,,,,,,,,,,,,,,,,,,
Alistipes,Bacteroidetes,Helpful,Metabolic disorders,"This genus provides protection against various diseases such as liver fibrosis, colorectal cancer, colitis, cardiovascular disease and various mood disorders.",,,,,,,,,,,,,,,,,,,,
Alistipes,Bacteroidetes,Helpful,Cardiovascular,"This genus provides protection against various diseases such as liver fibrosis, colorectal cancer, colitis, cardiovascular disease and various mood disorders.",,,,,,,,,,,,,,,,,,,,
Allisonella,Firmicutes,Helpful,Immunity,It provides protection against constipation. Also produces histamine to control allergic reactions.,,,,,,,,,,,,,,,,,,,,
Alloprevotella,Bacteroidetes,Helpful,Neurodegenerative,This genus controls the risk of cardiovascular and cerebrovascular disease,,,,,,,,,,,,,,,,,,,,
Anaerostipes,Firmicutes,Helpful,Good Gut health,"It utilizes carbohydrate to produce short chain fatty acids, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Bacteroides,Bacteroidetes,Helpful,Gastro Intestinal Disorders,The main role of it is metabolizing polysaccharides and oligosaccharides which provides nutrition and vitamins to the host and other intestinal microbial residents and promote the growth of others.,,,,,,,,,,,,,,,,,,,,
Bifidobacterium,Actinobacteria,Helpful,Immunity,"It helps to digest fibre and produce lots of important healthy chemicals, which prevent infections.",,,,,,,,,,,,,,,,,,,,
Bilophila,Proteobacteria,Harmful,Metabolic disorders,It causes Bloating and visible abdominal distention and also related to metabolic disorders,,,,,,,,,,,,,,,,,,,,
Blautia,Firmicutes,Harmful,Cardiovascular,It increases the risk of obesity and cardiovascular diseases.,,,,,,,,,,,,,,,,,,,,
Butyricicoccus,Firmicutes,Helpful,Immunity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity. Also provides protection against colorectal cancer",,,,,,,,,,,,,,,,,,,,
Butyricimonas,Bacteroidetes,Helpful,Good Gut health,"It utilizes carbohydrate to produce short chain fatty acids, mainly butyrate, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Butyrivibrio,Firmicutes,Helpful,Immunity,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity. Also reduce the risk of obesity.",,,,,,,,,,,,,,,,,,,,
Catenibacterium,Firmicutes,Helpful,Nutrition,"It ferments glucose, mannose, galactose, fructose, sucrose, maltose, cellobiose, lactose and salicin in the production of lactic acid, acetic acid as well as iso-butyric acid.",,,,,,,,,,,,,,,,,,,,
Citrobacter,Proteobacteria,Harmful,Neurodegenerative,It causes neonatal sepsis and meningitis.,,,,,,,,,,,,,,,,,,,,
Coprococcus,Firmicutes,Helpful,Good Gut health,"A main producer of Butyrate- a short chain fatty acid. It breaks carbohydrate and produce butyrate, which has an anti-inflammatory capacity and neuroactive potential.",,,,,,,,,,,,,,,,,,,,
Defluviitaleaceae_UCG-011,Firmicutes,Helpful,Good Gut health,"It utilizes carbohydrate to produce short chain fatty acids, which have important role in maintaining inflammation, immunity, control mood related and several neurological disorders.",,,,,,,,,,,,,,,,,,,,
Dorea,Firmicutes,Harmful,Cardiovascular,"It is associated with obesity, high triglyceride level",,,,,,,,,,,,,,,,,,,,
Enterobacter,Proteobacteria,Harmful,Gastro Intestinal Disorders,"Over population of this genus in gut cause IBD, diarrhoea, enterititis.",,,,,,,,,,,,,,,,,,,,
Escherichia-Shigella,Proteobacteria,Harmful,Immunity,It is a good indicator of dysbiotic gut and also causes septic shock.,,,,,,,,,,,,,,,,,,,,
